Id,Supermercado,Marca,Producto,Precio,Categoria,Enlace,Fecha,porMayor,ProductoNormalizado
1816,Jumbo,Surlat,Pack 6 Un. Leche Surlat Entera 1 L,6900,Leche Entera,https://www.jumbo.cl/leche-s-l-entera-surlat-1l-1882658-pak/p,2024-10-01,,6un entera leche surlat surlat
1817,Jumbo,Surlat,Pack 6 Un. Leche Surlat Entera 1 L,6900,Leche Entera,https://www.jumbo.cl/leche-s-l-entera-surlat-1l-1882658-pak/p,2024-10-26,,6un entera leche surlat surlat
1818,Unimarc,Nido,Leche En Polvo Nido Entera 800 G,6990,Leche Entera,https://www.unimarc.cl/product/leche-en-polvo-intantanea-nido-800-gr,2024-10-06,,800g en entera leche nido nido polvo
1819,Unimarc,Nido,Leche En Polvo Nido Entera 800 G,6990,Leche Entera,https://www.unimarc.cl/product/leche-en-polvo-intantanea-nido-800-gr,2024-11-02,,800g en entera leche nido nido polvo
1820,Jumbo,Soprole,Leche Polvo Soprole Entera 800 G,6999,Leche Entera,https://www.jumbo.cl/leche-soprole-en-polvo-entera-800g/p,2024-11-02,,800g entera leche polvo soprole soprole
1821,Jumbo,Soprole,Leche Polvo Soprole Entera 800 G,6999,Leche Entera,https://www.jumbo.cl/leche-soprole-en-polvo-entera-800g/p,2024-11-11,,800g entera leche polvo soprole soprole
1822,Santa Isabel,Soprole,Leche Polvo Soprole Entera 800 G,6999,Leche Entera,https://www.santaisabel.cl/leche-soprole-en-polvo-entera-800g/p,2024-11-11,,800g entera leche polvo soprole soprole
1823,Santa Isabel,Soprole,Leche Polvo Soprole Entera 800 G,6999,Leche Entera,https://www.santaisabel.cl/leche-soprole-en-polvo-entera-800g/p,2024-11-02,,800g entera leche polvo soprole soprole
1824,Jumbo,Surlat,Pack 6 Un. Leche Surlat Entera 1 L,7000,Leche Entera,https://www.jumbo.cl/leche-s-l-entera-surlat-1l-1882658-pak/p,2024-11-11,,6un entera leche surlat surlat
1825,Unimarc,Calo,Leche En Polvo Calo Entera Instantánea Bolsa 850 G,7060,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-26-mg-calo-sb-900-gr,2024-10-26,,850g bolsa calo calo en entera instantanea leche polvo
1826,Unimarc,Calo,Leche En Polvo Calo Entera Instantánea Bolsa 850 G,7060,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-26-mg-calo-sb-900-gr,2024-11-02,,850g bolsa calo calo en entera instantanea leche polvo
1827,Unimarc,Calo,Leche En Polvo Calo Entera Instantánea Bolsa 850 G,7060,Leche Entera,https://www.unimarc.cl/product/leche-polvo-inst-26-mg-calo-sb-900-gr,2024-11-11,,850g bolsa calo calo en entera instantanea leche polvo
1828,Unimarc,Alcafood,Leche En Polvo Alcafood Entera Instantánea Bolsa 800 G,7150,Leche Entera,https://www.unimarc.cl/product/leche-inst-polvo-26-m-g-alcafood-800-gr,2024-10-01,,800g alcafood alcafood bolsa en entera instantanea leche polvo
1829,Unimarc,Alcafood,Leche En Polvo Alcafood Entera Instantánea Bolsa 800 G,7150,Leche Entera,https://www.unimarc.cl/product/leche-inst-polvo-26-m-g-alcafood-800-gr,2024-10-26,,800g alcafood alcafood bolsa en entera instantanea leche polvo
1830,Unimarc,Alcafood,Leche En Polvo Alcafood Entera Instantánea Bolsa 800 G,7150,Leche Entera,https://www.unimarc.cl/product/leche-inst-polvo-26-m-g-alcafood-800-gr,2024-11-11,,800g alcafood alcafood bolsa en entera instantanea leche polvo
1831,Santa Isabel,Calo,Leche Polvo Calo Entera 850 G,7179,Leche Entera,https://www.santaisabel.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-11-11,,850g calo calo entera leche polvo
1832,Santa Isabel,Calo,Leche Polvo Calo Entera 850 G,7179,Leche Entera,https://www.santaisabel.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-10-01,,850g calo calo entera leche polvo
1833,Santa Isabel,Calo,Leche Polvo Calo Entera 850 G,7179,Leche Entera,https://www.santaisabel.cl/leche-entera-calo-en-polvo-bolsa-900-g-2/p,2024-10-06,,850g calo calo entera leche polvo
